r,n,|A|,|A+A|
2,5,17,81
3,5,21,155
4,5,21,181
5,5,21,201
6,5,25,279
7,5,25,283
8,5,25,287
9,5,25,291
10,5,25,295
2,6,21,134
3,6,26,251
4,6,31,376
5,6,31,406
6,6,31,436
7,6,36,581
8,6,36,586
9,6,36,591
10,6,36,596
2,7,31,266
3,7,37,497
4,7,43,700
5,7,43,757
6,7,43,799
7,7,43,841
8,7,49,1084
9,7,49,1090
10,7,49,1096
2,8,36,387
3,8,50,901
4,8,50,981
5,8,57,1317
6,8,57,1373
7,8,57,1429
8,8,57,1485
9,8,64,1863
10,8,64,1870
2,9,49,670
3,9,57,1217
4,9,65,1661
5,9,73,2133
6,9,73,2233
7,9,73,2305
8,9,73,2377
9,9,73,2449
10,9,81,3005
2,10,55,899
3,10,73,1954
4,10,82,2649
5,10,82,2755
6,10,91,3466
7,10,91,3556
8,10,91,3646
9,10,91,3736
10,10,91,3826
2,11,71,1460
3,11,91,3005
4,11,101,4032
5,11,101,4196
6,11,111,5126
7,11,111,5281
8,11,111,5391
9,11,111,5501
10,11,111,5611
2,12,78,1853
3,12,100,3735
4,12,111,4973
5,12,122,6161
6,12,122,6293
7,12,133,7591
8,12,133,7723
9,12,133,7855
10,12,133,7987
2,13,97,2846
3,13,121,5472
4,13,133,7202
5,13,145,8734
6,13,145,8923
7,13,157,10543
8,13,157,10765
9,13,157,10921
10,13,157,11077
2,14,105,3471
3,14,144,7749
4,14,157,10094
5,14,170,12047
6,14,170,12325
7,14,170,12507
8,14,183,14652
9,14,183,14834
10,14,183,15016
2,15,127,5086
3,15,155,9169
4,15,183,13814
5,15,183,14141
6,15,197,16640
7,15,197,16850
8,15,211,19440
9,15,211,19741
10,15,211,19951
2,16,136,6023
3,16,181,12583
4,16,196,16051
5,16,211,18931
6,16,226,21965
7,16,226,22261
8,16,226,22501
9,16,241,25801
10,16,241,26041
2,17,161,8370
3,17,209,16825
4,17,225,21097
5,17,241,24835
6,17,257,28483
7,17,257,28905
8,17,257,29177
9,17,273,33065
10,17,273,33457
2,18,171,9701
3,18,222,19283
4,18,256,27303
5,18,273,32002
6,18,273,32420
7,18,290,36959
8,18,290,37265
9,18,290,37571
10,18,307,42382
2,19,199,13102
3,19,253,25215
4,19,289,34792
5,19,307,40657
6,19,307,41203
7,19,325,46527
8,19,325,46954
9,19,325,47296
10,19,343,52858
2,20,210,14929
3,20,286,32357
4,20,305,39129
5,20,324,45639
6,20,343,51681
7,20,362,57849
8,20,362,58445
9,20,362,58825
10,20,362,59205
2,21,241,19672
3,21,301,36273
4,21,341,48988
5,21,361,56952
6,21,381,64004
7,21,381,64481
8,21,401,71951
9,21,401,72371
10,21,401,72791
2,22,253,22109
3,22,337,45735
4,22,379,60656
5,22,400,70189
6,22,421,78382
7,22,421,79024
8,22,442,87577
9,22,442,88159
10,22,442,88621
2,23,287,28518
3,23,375,56901
4,23,419,74226
5,23,441,85647
6,23,463,95100
7,23,463,95921
8,23,485,105626
9,23,485,106426
10,23,485,106932
2,24,300,31691
3,24,392,62767
4,24,438,81713
5,24,484,103563
6,24,484,104467
7,24,507,115415
8,24,507,115967
9,24,530,127421
10,24,530,127973
2,25,337,40126
3,25,433,76964
4,25,481,98813
5,25,505,113329
6,25,529,125269
7,25,553,137669
8,25,553,138361
9,25,577,151244
10,25,577,152005
2,26,351,44173
3,26,476,93445
4,26,526,118517
5,26,551,134876
6,26,576,149003
7,26,601,162962
8,26,601,163876
9,26,626,178267
10,26,626,179301
2,27,391,55030
3,27,495,101825
4,27,573,140864
5,27,599,159433
6,27,625,175886
7,27,651,191639
8,27,651,192791
9,27,651,193493
10,27,677,210146
2,28,406,60101
3,28,541,121692
4,28,595,152767
5,28,649,187273
6,28,676,206295
7,28,676,207415
8,28,703,225397
9,28,703,226153
10,28,730,244629
2,29,449,73812
3,29,589,144371
4,29,645,180040
5,29,701,218577
6,29,729,240527
7,29,729,241879
8,29,757,261862
9,29,757,262809
10,29,785,283197
2,30,465,80069
3,30,610,155859
4,30,697,210858
5,30,726,235403
6,30,755,258884
7,30,784,280489
8,30,813,302542
9,30,813,303776
10,30,813,304646
2,31,511,97102
3,31,661,183261
4,31,751,245182
5,31,781,272665
6,31,811,299522
7,31,841,323479
8,31,871,347842
9,31,871,349381
10,31,871,350311
2,32,528,104719
3,32,714,214097
4,32,776,262983
5,32,838,314257
6,32,869,344635
7,32,900,371143
8,32,900,372435
9,32,931,399963
10,32,931,400955
2,33,577,125103
3,33,737,229393
4,33,833,303865
5,33,897,360506
6,33,929,394702
7,33,961,423938
8,33,961,425521
9,33,993,455687
10,33,993,456929
2,34,595,134248
3,34,793,266055
4,34,892,349317
5,34,958,411503
6,34,991,450074
7,34,1024,482221
8,34,1024,484111
9,34,1057,516994
10,34,1057,518596
2,35,647,158888
3,35,851,306835
4,35,953,399384
5,35,987,438213
6,35,1055,511114
7,35,1055,513129
8,35,1089,548574
9,35,1123,584349
10,35,1123,586331
2,36,666,169757
3,36,876,326711
4,36,981,424781
5,36,1051,497511
6,36,1086,542921
7,36,1121,580511
8,36,1156,619155
9,36,1156,620551
10,36,1191,660521
2,37,721,199219
3,37,937,374538
4,37,1045,483212
5,37,1117,562701
6,37,1153,612019
7,37,1189,654267
8,37,1225,696235
9,37,1225,697987
10,37,1261,741320
2,38,741,212020
3,38,1000,427229
4,38,1111,547333
5,38,1185,634164
6,38,1222,687609
7,38,1259,734682
8,38,1296,780351
9,38,1296,782477
10,38,1333,829262
2,39,799,246906
3,39,1027,452529
4,39,1179,617402
5,39,1255,711861
6,39,1293,770090
7,39,1331,822337
8,39,1369,871920
9,39,1369,874438
10,39,1407,924872
2,40,820,261859
3,40,1093,513606
4,40,1210,652309
5,40,1288,751759
6,40,1366,859873
7,40,1405,917655
8,40,1405,920089
9,40,1444,974299
10,40,1444,975859
